[train] device: cuda | cpu threads: 4
[train] observation space: (4, 84, 84) uint8 | action space: 2
[train] CNN parameters: 1,685,154 | replay buffer ~5.64 GB (100,000 transitions)
[train] step   110,000/1,000,000 | eps 0.010 | ep_return    9.04 | ep_len     51 | updates   22,500 |   366 step/s
[train] step   112,000/1,000,000 | eps 0.010 | ep_return    9.03 | ep_len     51 | updates   23,000 |   366 step/s
[train] step   114,000/1,000,000 | eps 0.010 | ep_return    9.03 | ep_len     51 | updates   23,500 |   366 step/s
[train] step   116,000/1,000,000 | eps 0.010 | ep_return    9.04 | ep_len     51 | updates   24,000 |   365 step/s
[train] step   118,000/1,000,000 | eps 0.010 | ep_return    9.01 | ep_len     51 | updates   24,500 |   365 step/s
[train] step   120,000/1,000,000 | eps 0.010 | ep_return    9.03 | ep_len     51 | updates   25,000 |   365 step/s
[train] step   122,000/1,000,000 | eps 0.010 | ep_return    9.10 | ep_len     51 | updates   25,500 |   364 step/s
[train] step   124,000/1,000,000 | eps 0.010 | ep_return    9.22 | ep_len     52 | updates   26,000 |   364 step/s
[train] step   126,000/1,000,000 | eps 0.010 | ep_return    9.11 | ep_len     51 | updates   26,500 |   364 step/s
[train] step   128,000/1,000,000 | eps 0.010 | ep_return    9.07 | ep_len     51 | updates   27,000 |   363 step/s
[train] step   130,000/1,000,000 | eps 0.010 | ep_return    9.09 | ep_len     51 | updates   27,500 |   363 step/s
[train] step   132,000/1,000,000 | eps 0.010 | ep_return    9.14 | ep_len     52 | updates   28,000 |   363 step/s
[train] step   134,000/1,000,000 | eps 0.010 | ep_return    9.21 | ep_len     52 | updates   28,500 |   363 step/s
[train] step   136,000/1,000,000 | eps 0.010 | ep_return    9.21 | ep_len     52 | updates   29,000 |   362 step/s
[train] step   138,000/1,000,000 | eps 0.010 | ep_return    9.18 | ep_len     52 | updates   29,500 |   362 step/s
[train] step   140,000/1,000,000 | eps 0.010 | ep_return    9.23 | ep_len     52 | updates   30,000 |   362 step/s
[train] step   142,000/1,000,000 | eps 0.010 | ep_return    9.19 | ep_len     52 | updates   30,500 |   362 step/s
[train] step   144,000/1,000,000 | eps 0.010 | ep_return    9.17 | ep_len     52 | updates   31,000 |   362 step/s
[train] step   146,000/1,000,000 | eps 0.010 | ep_return    9.11 | ep_len     51 | updates   31,500 |   361 step/s
[train] step   148,000/1,000,000 | eps 0.010 | ep_return    9.07 | ep_len     51 | updates   32,000 |   361 step/s
